id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
109,Amazing bright elegant condo park front *UPGRADED*,521,Paolo,Other Cities,Culver City,33.98209,-118.38494,Entire home/apt,122,30,2,2016-05-15,0.02,1,38
344,Family perfect;Pool;Near Studios!,767,Melissa,Other Cities,Burbank,34.16562,-118.33458,Entire home/apt,168,2,8,2019-10-19,0.17,1,97
2708,Mirrored Mini-Suite with Fireplace - W. Hollywood,3008,Chas.,City of Los Angeles,Hollywood,34.09768,-118.34602,Private room,79,30,24,2020-03-17,0.33,2,281
2732,Zen Life at the Beach,3041,Yoga Priestess,Other Cities,Santa Monica,34.00475,-118.48127,Private room,155,1,21,2019-12-27,0.19,2,365
2864,* Beautiful Master Suite/Jacuzzi Tub/*,3207,Bernadine,Other Cities,Bellflower,33.87619,-118.11397,Entire home/apt,80,14,0,,,1,0
3021,Hollywood Hills Zen Modern style Apt/Guesthouse,3415,Nataraj,City of Los Angeles,Hollywood Hills West,34.11132,-118.38227,Entire home/apt,145,3,23,2018-10-31,0.28,4,340
5728,Tiny Home in Artistic Oasis near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,75,30,309,2020-03-13,2.35,4,275
5729,Zen Room with Floating Bed near Venice and LAX,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Private room,105,30,230,2020-04-11,1.77,4,270
5843,Artist Oasis near Venice Beach w/ Beautiful Garden,9171,Sanni,City of Los Angeles,Del Rey,33.9875,-118.432,Entire home/apt,303,1,127,2020-03-31,1.16,4,145
6033,Poolside Serenity Studio,11619,Sarah,City of Los Angeles,Woodland Hills,34.16825,-118.64438,Entire home/apt,85,29,25,2020-03-22,0.19,6,22
6931,Off Sunset Wrap-Around Terr Runyon Canyon View WeH,3008,Chas.,City of Los Angeles,Hollywood,34.09521,-118.34801,Private room,99,30,19,2020-03-30,0.14,2,297
7874,"2nd story, tile floor bedroom w/ shared bathroom.",21700,Henry,Other Cities,Bellflower,33.8761,-118.11509,Private room,48,1,12,2019-10-27,0.72,2,153
7992,"Lively,Walkable Area/CozyQuiet Spot/Central Locale",22363,Tom,City of Los Angeles,Atwater Village,34.11543,-118.2609,Entire home/apt,79,30,238,2020-01-18,2.30,2,341
8770,Cozy Guest House on Venice Walk St.,26996,Lillian,City of Los Angeles,Venice,33.99399,-118.45637,Entire home/apt,121,3,401,2020-02-24,3.15,1,38
9140,City Place Lofts,28350,Wendell,Other Cities,Long Beach,33.77206,-118.18893,Private room,90,2,393,2019-11-25,4.48,1,0
9376,"Bright Apt, walk to Venice Beach",30319,Cristina,City of Los Angeles,Venice,33.99638,-118.47734,Private room,85,30,47,2020-02-21,0.36,2,365
9545,Burnham Beach Hse Retreat,31306,Wendy,Other Cities,Redondo Beach,33.83823,-118.38569,Private room,50,1,137,2020-02-21,1.05,5,128
10760,CASAMIGOS,38596,Debra,City of Los Angeles,Mid-Wilshire,34.05437,-118.35641,Private room,74,30,45,2019-06-16,0.36,1,87
